time,v2
9000,-0.20535714285714324
9001,-0.20535714285714324
9002,-0.2142857142857153
9003,-0.2142857142857153
9004,-0.20535714285714324
9005,-0.2142857142857153
9006,-0.22321428571428648
9007,-0.23214285714285765
9008,-0.22321428571428648
9009,-0.1875000000000009
9010,-0.17857142857142883
9011,-0.17857142857142883
9012,-0.19642857142857206
9013,-0.22321428571428648
9014,-0.2142857142857153
9015,-0.20535714285714324
9016,-0.19642857142857206
9017,-0.16964285714285765
9018,-0.17857142857142883
9019,-0.19642857142857206
9020,-0.19642857142857206
9021,-0.19642857142857206
9022,-0.1875000000000009
9023,-0.19642857142857206
9024,-0.1875000000000009
9025,-0.20535714285714324
9026,-0.20535714285714324
9027,-0.17857142857142883
9028,-0.17857142857142883
9029,-0.1875000000000009
9030,-0.19642857142857206
9031,-0.23214285714285765
9032,-0.2142857142857153
9033,-0.1875000000000009
9034,-0.16071428571428648
9035,-0.16071428571428648
9036,-0.1875000000000009
9037,-0.19642857142857206
9038,-0.20535714285714324
9039,-0.20535714285714324
9040,-0.19642857142857206
9041,-0.19642857142857206
9042,-0.19642857142857206
9043,-0.19642857142857206
9044,-0.16964285714285765
9045,-0.16964285714285765
9046,-0.16071428571428648
9047,-0.16071428571428648
9048,-0.17857142857142883
9049,-0.1875000000000009
9050,-0.1875000000000009
9051,-0.17857142857142883
9052,-0.17857142857142883
9053,-0.17857142857142883
9054,-0.17857142857142883
9055,-0.1875000000000009
9056,-0.1875000000000009
9057,-0.16964285714285765
9058,-0.17857142857142883
9059,-0.17857142857142883
9060,-0.17857142857142883
9061,-0.17857142857142883
9062,-0.1517857142857153
9063,-0.1517857142857153
9064,-0.1517857142857153
9065,-0.16964285714285765
9066,-0.17857142857142883
9067,-0.20535714285714324
9068,-0.1875000000000009
9069,-0.16964285714285765
9070,-0.1517857142857153
9071,-0.16071428571428648
9072,-0.16071428571428648
9073,-0.17857142857142883
9074,-0.17857142857142883
9075,-0.16964285714285765
9076,-0.1517857142857153
9077,-0.14285714285714324
9078,-0.16071428571428648
9079,-0.16964285714285765
9080,-0.1517857142857153
9081,-0.14285714285714324
9082,-0.1517857142857153
9083,-0.16071428571428648
9084,-0.16964285714285765
9085,-0.16071428571428648
9086,-0.14285714285714324
9087,-0.1517857142857153
9088,-0.16071428571428648
9089,-0.17857142857142883
9090,-0.17857142857142883
9091,-0.17857142857142883
9092,-0.1517857142857153
9093,-0.13392857142857206
9094,-0.13392857142857206
9095,-0.13392857142857206
9096,-0.14285714285714324
9097,-0.14285714285714324
9098,-0.1250000000000009
9099,-0.10714285714285765
9100,-0.09821428571428648
9101,-0.09821428571428648
9102,-0.09821428571428648
9103,-0.09821428571428648
9104,-0.07142857142857206
9105,-0.04464285714285765
9106,-0.017857142857143238
9107,-0.017857142857143238
9108,-0.017857142857143238
9109,-8.881784197001252e-16
9110,0.01785714285714235
9111,0.026785714285713524
9112,0.008928571428571175
9113,0.01785714285714235
9114,0.01785714285714235
9115,0.01785714285714235
9116,0.04464285714285676
9117,0.06249999999999911
9118,0.05357142857142794
9119,-8.881784197001252e-16
9120,-0.06250000000000089
9121,-0.1250000000000009
9122,-0.11607142857142883
9123,-0.09821428571428648
9124,-0.11607142857142883
9125,-0.17857142857142883
9126,-0.2142857142857153
9127,-0.22321428571428648
9128,-0.19642857142857206
9129,-0.17857142857142883
9130,-0.17857142857142883
9131,-0.1875000000000009
9132,-0.20535714285714324
9133,-0.2142857142857153
9134,-0.22321428571428648
9135,-0.2142857142857153
9136,-0.2142857142857153
9137,-0.2142857142857153
9138,-0.2142857142857153
9139,-0.23214285714285765
9140,-0.2142857142857153
9141,-0.2142857142857153
9142,-0.20535714285714324
9143,-0.20535714285714324
9144,-0.20535714285714324
9145,-0.20535714285714324
9146,-0.19642857142857206
9147,-0.19642857142857206
9148,-0.19642857142857206
9149,-0.19642857142857206
9150,-0.20535714285714324
9151,-0.20535714285714324
9152,-0.2142857142857153
9153,-0.2142857142857153
9154,-0.2142857142857153
9155,-0.20535714285714324
9156,-0.2142857142857153
9157,-0.2142857142857153
9158,-0.2142857142857153
9159,-0.2142857142857153
9160,-0.19642857142857206
9161,-0.19642857142857206
9162,-0.19642857142857206
9163,-0.2142857142857153
9164,-0.19642857142857206
9165,-0.19642857142857206
9166,-0.1875000000000009
9167,-0.20535714285714324
9168,-0.23214285714285765
9169,-0.2500000000000009
9170,-0.22321428571428648
9171,-0.19642857142857206
9172,-0.1517857142857153
9173,-0.13392857142857206
9174,-0.1250000000000009
9175,-0.13392857142857206
9176,-0.17857142857142883
9177,-0.24107142857142883
9178,-0.29464285714285765
9179,-0.33035714285714324
9180,-0.3392857142857153
9181,-0.3660714285714288
