time,resp_modelo
9332,-0.18784962594509125
9333,-0.18784962594509125
9334.0,-0.19424109160900116
9335.0,-0.19314706325531006
9336.0,-0.18872258067131042
9337.0,-0.1829138547182083
9338.0,-0.17687995731830597
9339.0,-0.17175275087356567
9340.0,-0.1680920124053955
9341.0,-0.166014164686203
9342.0,-0.16597290337085724
9343.0,-0.16808226704597473
9344.0,-0.1718820035457611
9345.0,-0.17546242475509644
9346.0,-0.17821085453033447
9347.0,-0.17926715314388275
9348.0,-0.17863912880420685
9349.0,-0.1773594617843628
9350.0,-0.17589543759822845
9351.0,-0.17415477335453033
9352.0,-0.17171181738376617
9353.0,-0.16874459385871887
9354.0,-0.16557815670967102
9355.0,-0.16269539296627045
9356.0,-0.1609206348657608
9357.0,-0.16040655970573425
9358.0,-0.16056880354881287
9359.0,-0.1620635986328125
9360.0,-0.16485846042633057
9361.0,-0.1685619056224823
9362.0,-0.1722932755947113
9363.0,-0.17397698760032654
9364.0,-0.17324811220169067
9365.0,-0.17029829323291779
9366.0,-0.16654470562934875
9367.0,-0.1631058305501938
9368.0,-0.1614047884941101
9369.0,-0.16027233004570007
9370.0,-0.15854820609092712
9371.0,-0.15548491477966309
9372.0,-0.15190748870372772
9373.0,-0.1484777331352234
9375.0,-0.14630542695522308
9376.0,-0.14717483520507812
9377.0,-0.14825022220611572
9378.0,-0.14934302866458893
9380.0,-0.15459811687469482
9379.0,-0.15143221616744995
9381.0,-0.15753184258937836
9382.0,-0.15958048403263092
9383.0,-0.16107165813446045
9384.0,-0.16225974261760712
9385.0,-0.16309905052185059
9386.0,-0.1625836342573166
9387.0,-0.15976324677467346
9388.0,-0.1554374247789383
9389.0,-0.15067900717258453
9390.0,-0.1467953473329544
9391.0,-0.1439066082239151
9392.0,-0.14160729944705963
9393.0,-0.13822084665298462
9394.0,-0.13283710181713104
9395.0,-0.12564730644226074
9396.0,-0.11709803342819214
9397.0,-0.10796371102333069
9398.0,-0.09840824455022812
9399.0,-0.08791626989841461
9400.0,-0.0762927308678627
9401.0,-0.06402308493852615
9402.0,-0.05205217003822327
9403.0,-0.04122840240597725
9404.0,-0.03199521824717522
9405.0,-0.023792214691638947
9406.0,-0.016138846054673195
9407.0,-0.008887158706784248
9408.0,-0.002757770475000143
9409.0,0.0016620679525658488
9411.0,0.004662217106670141
9412.0,0.00199535652063787
9413.0,-0.005318415351212025
9414.0,-0.017973879352211952
9415.0,-0.036357756704092026
9416.0,-0.05963541567325592
9417.0,-0.08470533043146133
9418.0,-0.10788271576166153
9419.0,-0.12683242559432983
9420.0,-0.1421060711145401
9421.0,-0.15538600087165833
9422.0,-0.167997345328331
9423.0,-0.17766831815242767
9424.0,-0.18258443474769592
9425.0,-0.18413205444812775
9426.0,-0.1864273101091385
9427.0,-0.1916075199842453
9428.0,-0.1994369626045227
9429.0,-0.20731890201568604
9430.0,-0.2132435292005539
9431.0,-0.21653836965560913
9432.0,-0.2174406498670578
9433.0,-0.21686914563179016
9434.0,-0.21530233323574066
9435.0,-0.2131182998418808
9436.0,-0.20984232425689697
9437.0,-0.2056981474161148
9438.0,-0.2011183798313141
9439.0,-0.1967390924692154
9440.0,-0.19385100901126862
9441.0,-0.191771000623703
9442.0,-0.190708190202713
9443.0,-0.19039875268936157
9444.0,-0.19101446866989136
9445.0,-0.19258932769298553
9446.0,-0.1949467808008194
9447.0,-0.197394460439682
9449.0,-0.20178064703941345
9450.0,-0.20353016257286072
9451.0,-0.2054288238286972
9452.0,-0.20746921002864838
9453.0,-0.2099829465150833
9454.0,-0.2126321643590927
9455.0,-0.2149280160665512
9456.0,-0.21600466966629028
9457.0,-0.21593813598155975
9458.0,-0.21427612006664276
9459.0,-0.21055735647678375
9460.0,-0.2043096423149109
9461.0,-0.19455976784229279
9462.0,-0.18179623782634735
9463.0,-0.16698402166366577
9464.0,-0.1519833654165268
9465.0,-0.1372057944536209
9466.0,-0.12440004199743271
9467.0,-0.11563771963119507
9468.0,-0.11482475697994232
9469.0,-0.12615399062633514
9470.0,-0.15218684077262878
9471.0,-0.19108934700489044
9472.0,-0.2375154197216034
9473.0,-0.28211480379104614
9474.0,-0.31630653142929077
9475.0,-0.3342103958129883
9476.0,-0.3343484103679657
9477.0,-0.3199302852153778
9478.0,-0.296522855758667
9479.0,-0.26966822147369385
9480.0,-0.24410472810268402
9481.0,-0.2233997881412506
9482.0,-0.21312928199768066
9483.0,-0.21825823187828064
9484.0,-0.2475283294916153
9485.0,-0.3154798746109009
9486.0,-0.43413442373275757
9487.0,-0.5865480899810791
9488.0,-0.7216178178787231
9489.0,-0.8071056604385376
9490.0,-0.8494588136672974
9491.0,-0.8641304969787598
9493.0,-0.8422296643257141
9494.0,-0.8112965822219849
9495.0,-0.7674219012260437
9496.0,-0.710664689540863
9497.0,-0.6423105597496033
9498.0,-0.566508412361145
9499.0,-0.48985350131988525
9500.0,-0.41978487372398376
9501.0,-0.359805703163147
9502.0,-0.3096189498901367
9503.0,-0.26742810010910034
9504.0,-0.23250631988048553
9505.0,-0.20620742440223694
9506.0,-0.18844455480575562
9507.0,-0.17800383269786835
9508.0,-0.1714019477367401
9509.0,-0.16589011251926422
9510.0,-0.1604393869638443
9511.0,-0.15535558760166168
9512.0,-0.15068373084068298
9513.0,-0.1456378847360611
9514.0,-0.1400265395641327
9515.0,-0.13396614789962769
9516.0,-0.1284140944480896
9517.0,-0.12377405166625977
9519.0,-0.11707111448049545
9520.0,-0.11526317894458771
9521.0,-0.11426622420549393
9522.0,-0.11488665640354156
9523.0,-0.11744201928377151
9524.0,-0.12095865607261658
9525.0,-0.12367863953113556
9526.0,-0.12505964934825897
9527.0,-0.12455807626247406
9528.0,-0.12285459786653519
9529.0,-0.12116791307926178
9530.0,-0.12040989845991135
9531.0,-0.12026577442884445
9532.0,-0.11950968205928802
9533.0,-0.1171991154551506
9534.0,-0.11352328211069107
9535.0,-0.10925983637571335
9536.0,-0.10518086701631546
9537.0,-0.1016245111823082
9538.0,-0.09877253323793411
9538.0,-0.09877253323793411
9539.0,-0.09624428302049637
9540.0,-0.09454593807458878
9541.0,-0.09436837583780289
9542.0,-0.09568057954311371
9543.0,-0.09763771295547485
9544.0,-0.09982281923294067
9545.0,-0.10236571729183197
9546.0,-0.10467696189880371
9547.0,-0.10673315078020096
9548.0,-0.1079445630311966
9549.0,-0.10740282386541367
9550.0,-0.10471365600824356
9551.0,-0.09962451457977295
9552.0,-0.09310990571975708
9553.0,-0.08663716912269592
9554.0,-0.08119866997003555
9555.0,-0.07719866931438446
9556.0,-0.074455626308918
9557.0,-0.0723922848701477
9558.0,-0.07070370018482208
9559.0,-0.06906342506408691
9560.0,-0.0672498270869255
